Entry Date,Exit Date,Stock,Trade Type,Shares,Entry Price,Exit Price,Capital Allocated,Stock return,Reason,weight,portfolio return,profit/loss,portfolio value,Cumulative Return
31-01-2018,28-02-2018,HDFCBANK.NS,Long,241,948.5844727,891.1218262,228608.8579,-0.060577258,End of Period,0.680971376,-0.041251379,-13848.49781,323124.4837,2.186799099
31-01-2018,28-02-2018,HINDUNILVR.NS,Long,86,1242.680908,1195.854004,106870.5581,-0.037682163,End of Period,0.319028624,-0.012021688,-4027.113744,332945.8678,2.148488393
28-02-2018,28-03-2018,HDFCBANK.NS,Long,222,891.1218262,892.0203857,197829.0454,0.001008346,End of Period,0.620444884,0.000625623,199.480209,319220.8774,2.150458161
28-02-2018,28-03-2018,HINDUNILVR.NS,Long,101,1195.854004,1210.010986,120781.2544,0.011838387,End of Period,0.379555116,0.00449332,1429.855182,320451.2523,2.164614179
28-03-2018,30-04-2018,HDFCBANK.NS,Long,222,892.0203857,919.5457764,198028.5256,0.030857356,End of Period,0.61943804,0.01911422,6110.636735,326765.0864,2.225103311
28-03-2018,30-04-2018,HINDUNILVR.NS,Long,100,1210.010986,1369.322266,121001.0986,0.131661019,End of Period,0.38056196,0.050105176,15931.128,336585.5777,2.386697679
30-04-2018,31-05-2018,HINDUNILVR.NS,Long,75,1369.322266,1462.385742,102699.17,0.067963166,End of Period,0.299905741,0.020382544,6979.7607,349829.7177,2.455727192
30-04-2018,31-05-2018,HDFCBANK.NS,Long,261,919.5457764,1018.303589,240001.4476,0.107398473,End of Period,0.700094259,0.075189055,25775.78909,368625.7461,2.715560052
31-05-2018,29-06-2018,HINDUNILVR.NS,Long,106,1462.385742,1500.576172,155012.8887,0.026115155,End of Period,0.412743057,0.010778849,4048.18558,379664.8609,2.755609512
29-06-2018,31-07-2018,HINDUNILVR.NS,Long,144,1500.576172,1583.324341,216082.9688,0.055144264,End of Period,0.571662154,0.031523889,11915.73634,391581.127,2.87400093
31-07-2018,31-08-2018,HINDUNILVR.NS,Long,139,1583.324341,1627.624146,220082.0834,0.027978983,End of Period,0.565287201,0.015816161,6157.672895,397791.5932,2.935272752
31-07-2018,31-08-2018,INFY.NS,Long,289,587.2877808,619.9840698,169726.1687,0.055673368,End of Period,0.434712799,0.024201926,9449.227521,401083.1478,3.030513931
31-08-2018,28-09-2018,INFY.NS,Long,383,619.9840698,628.1581421,237453.8987,0.013184326,End of Period,0.583880272,0.007698068,3130.669691,410437.0302,3.061541102
31-08-2018,28-09-2018,HINDUNILVR.NS,Long,104,1627.624146,1470.631348,169272.9112,-0.096455191,End of Period,0.416119728,-0.040136908,-16327.25099,390979.1095,2.898523401
28-09-2018,31-10-2018,INFY.NS,Long,514,628.1581421,597.0317993,322873.285,-0.049551762,End of Period,0.819724479,-0.040618792,-15998.9402,378094.8745,2.740170088
28-09-2018,31-10-2018,TCS.NS,Long,36,1932.04834,1718.407837,69553.74024,-0.110577204,End of Period,0.180275521,-0.019934363,-7691.058108,386402.7566,2.66561218
31-10-2018,30-11-2018,INFY.NS,Long,326,597.0317993,580.5491333,194632.3666,-0.027607685,End of Period,0.525752067,-0.014514798,-5373.349116,364856.8416,2.612406561
